City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Comitan,MX,22.8909,-109.9124,78.62,44,20,3.0,few clouds
241,Lukovetskiy,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
242,Sabang,ID,-3.8004,102.2655,75.9,90,99,4.27,overcast clouds
243,Saint-Pierre,RE,-21.3393,55.4781,80.28,89,75,37.98,light rain
244,Acarau,BR,-8.2578,-49.2647,85.3,67,16,5.64,moderate rain
245,Roebourne,AU,-42.7826,147.0587,53.74,72,55,1.01,broken clouds
246,Amderma,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
247,Keshan,CN,38.9342,100.4517,22.21,36,70,9.1,broken clouds
248,Taoudenni,ML,20.1986,1.0114,65.35,12,0,8.19,clear sky
249,Colomi,US,37.3394,-121.895,63.16,23,20,5.01,haze
250,Yining,CN,38.9342,100.4517,22.21,36,70,9.1,broken clouds
251,Eureka,US,57.0531,-135.33,37.29,93,75,4.61,mist
252,Margate,ZA,-34.5322,20.0403,70.92,68,46,8.05,scattered clouds
253,La Rioja,AR,-51.6226,-69.2181,62.65,55,75,20.71,broken clouds
254,Beohari,IN,17.1667,75.9667,76.33,28,6,8.08,clear sky
255,Gweru,ZW,-22.2167,30.0,82.76,46,3,8.52,clear sky
256,Bakchar,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
257,Kuybyshevo,RU,47.8123,38.9073,38.23,100,100,9.04,overcast clouds
258,Namatanai,PG,-2.0226,147.2712,79.72,80,100,11.86,light rain
259,Verkhnyaya Inta,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
260,Xingcheng,CN,38.9342,100.4517,22.21,36,70,9.1,broken clouds
261,Maumere,ID,-3.8004,102.2655,75.9,90,99,4.27,overcast clouds
262,Kachiry,KZ,50.4111,80.2275,-6.79,92,10,1.45,clear sky
263,Lengshuitan,CN,38.9342,100.4517,22.21,36,70,9.1,broken clouds
264,Lucapa,AO,-15.1961,12.1522,73.83,69,76,11.39,broken clouds
265,Kerekegyhaza,HU,46.9372,19.4781,41.34,69,8,21.92,clear sky
266,Cedar City,US,57.0531,-135.33,37.29,93,75,4.61,mist
267,Nome,US,57.0531,-135.33,37.29,93,75,4.61,mist
268,Chabahar,IR,25.2919,60.643,70.7,34,0,7.29,clear sky
269,Alberton,CA,70.4692,-68.5914,-18.17,69,100,5.75,light snow
